Date,Locality,Sample,Equipment,Max.Depth,Mim.Depth,StartLat,StartLong,EndLat,EndLong,Duration
4/8/13,41,183,Basket,16.1544,16.1544,34.64753333,-76.8032666666667,34.64885,-76.8068333333333,5
4/8/13,41,184,Sled,16.1544,15.8496,34.64826667,-76.8072,34.64486667,-76.8095666666667,5
4/8/13,42,172,Basket,10.0584,10.0584,34.6885,-76.80205,34.68698333,-76.8013333333333,5
4/8/13,42,175,Basket,14.0208,9.7536,34.68858333,-76.8001,34.68493333,-76.7996666666667,5
4/8/13,42,176,Sled,14.6304,14.0208,34.68581667,-76.8001666666667,34.68286667,-76.80015,5
4/8/13,42,177,Van Veen Grab,14.3256,NA,34.68298333,-76.8000333333333,NA,NA,NA
4/8/13,43,178,Van Veen Grab,16.4592,NA,34.66846667,-76.7988666666667,NA,NA,NA
4/8/13,43,179,Basket,16.4592,16.1544,34.66846667,-76.7988666666667,34.66465,-76.7992,5
4/8/13,43,180,Sled,16.4592,16.1544,34.66601667,-76.80015,34.66955,-76.80075,5
4/8/13,43,181,Sled,16.4592,16.1544,34.66863333,-76.8023833333333,34.64685,-76.8027166666667,5
4/8/13,44,182,Sled,16.4592,16.1544,34.65223333,-76.80185,34.64736667,-76.8018166666667,5
4/8/13,44,185,Sled,17.6784,17.3736,34.61485,-76.8377833333333,34.6087,-76.8413833333333,5
4/8/13,44,186,Basket,17.0688,16.4592,34.60943333,-76.8429833333333,34.6112,-76.84565,5
4/8/13,44,187,Van Veen Grab,16.764,NA,34.6112,-76.84565,NA,NA,NA
4/8/13,44,188,Sled,17.0688,17.0688,34.61385,-76.8463666666667,34.61873333,-76.8466666666667,5
4/8/13,45,189,Sled,16.764,16.4592,34.63536667,-76.8450333333333,34.63911667,-76.8453833333333,5
4/8/13,45,190,Van Veen Grab,16.764,NA,34.63911667,-76.8453833333333,NA,NA,NA
4/8/13,45,191,Sled,17.0688,16.764,34.64,-76.8471833333333,34.63866667,-76.8536,5
4/8/13,46,192,Sled,16.1544,15.8496,34.6551,-76.8456,34.66273333,-76.8444166666667,5
4/8/13,46,193,Sled,15.8496,15.8496,34.66363333,-76.8450333333333,34.66761667,-76.84005,5
4/8/13,46,194,Van Veen Grab,15.8496,NA,34.66761667,-76.84005,NA,NA,NA
4/8/13,47,195,Sled,14.0208,13.1064,34.67935,-76.8428333333333,34.68153333,-76.8485833333333,5
4/8/13,47,196,Van Veen Grab,13.1064,NA,34.68153333,-76.8485833333333,NA,NA,NA
4/8/13,47,197,Sled,12.4968,12.192,34.68413333,-76.8498,34.68383333,-76.84285,5
4/8/13,48,198,Van Veen Grab,12.192,NA,34.67761667,-76.8845666666667,NA,NA,NA
4/8/13,48,199,Sled,11.2776,10.9728,34.67898333,-76.8840833333333,34.68006667,-76.87825,5
4/8/13,48,200,Sled,10.9728,10.668,34.68006667,-76.87825,34.6801,-76.8850166666667,5
4/9/13,49,201,Sled,15.8496,15.24,34.66396667,-76.89955,34.66818333,-76.8998666666667,5
4/9/13,49,202,Sled,15.8496,15.24,34.66691667,-76.9004666666667,34.66241667,-76.9019,5
4/9/13,49,203,Van Veen Grab,15.8496,NA,34.66241667,-76.9019,NA,NA,NA
4/9/13,50,213,Van Veen Grab,16.764,NA,34.60128333,-76.9011333333333,NA,NA,NA
4/9/13,50,214,Sled,17.0688,16.764,34.60128333,-76.9011333333333,34.59615,-76.9033666666667,5
4/9/13,50,215,Sled,17.0688,16.764,34.59615,-76.9064833333333,34.60336667,-76.909,5
4/9/13,51,155,Sled,17.9832,17.9832,34.59896667,-76.8398666666667,34.59935,-76.8454333333333,5
4/9/13,51,155,Sled,18.288,NA,34.59995,-76.8458,34.60611667,-76.8422333333333,5
4/9/13,51,156,Sled,17.9832,NA,34.59995,-76.8458,34.60611667,-76.8422333333333,NA
4/9/13,51,204,Van Veen Grab,16.4592,NA,34.64856667,-76.8962666666667,NA,NA,NA
4/9/13,51,205,Sled,16.4592,16.4592,34.63341667,-76.8943,34.64856667,-76.8962666666667,5
4/9/13,51,206,Sled,16.4592,16.4592,34.64856667,-76.8962666666667,34.6518,-76.8985666666667,5
4/9/13,51,207,Van Veen Grab,16.764,NA,34.63401667,-76.898,NA,NA,NA
4/9/13,51,209,Sled,16.1544,16.1544,34.64301667,-76.9030833333333,34.63861667,-76.90575,5
4/9/13,51,219,Van Veen Grab,17.6784,NA,34.59896667,-76.8398666666667,NA,NA,NA
4/9/13,51,221,Sled,16.4592,16.1544,34.6369,-76.8995,34.64301667,-76.9030833333333,5
4/9/13,52,210,Sled,17.0688,16.764,34.61766667,-76.90005,34.62486667,-76.90005,5
4/9/13,52,211,Sled,16.764,17.0688,34.62491667,-76.90005,34.61988333,-76.90595,5
4/9/13,52,212,Van Veen Grab,17.0688,NA,34.61998333,-76.9070166666667,NA,NA,NA
